epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1646.07,0.87072,0.55022,0.91613,0.86624,0.76307,0.83545,0.60569,1.03385,0.70055,0.95329,0.00101802,0.00033934,0.00101802,0.00033934,0.00101802,0.00033934,0.00101802,0.00033934
31,1699.51,0.86175,0.54255,0.91607,0.88307,0.77395,0.84034,0.60426,1.02464,0.68911,0.95221,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628
32,1753.49,0.85378,0.536,0.91391,0.83299,0.81826,0.8365,0.60711,1.01113,0.68534,0.95564,0.000989747,0.000329916,0.000989747,0.000329916,0.000989747,0.000329916,0.000989747,0.000329916
33,1806.29,0.8539,0.5432,0.91342,0.85704,0.77505,0.83913,0.60066,1.03827,0.69336,0.96775,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203
34,1859.45,0.85828,0.53892,0.91632,0.85761,0.79587,0.83972,0.60921,1.01809,0.68043,0.95568,0.000961472,0.000320491,0.000961472,0.000320491,0.000961472,0.000320491,0.000961472,0.000320491
35,1913.21,0.858,0.53304,0.91221,0.83592,0.80682,0.84205,0.60783,1.03576,0.69186,0.95528,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778
36,1967.36,0.85249,0.53163,0.9107,0.84195,0.79926,0.8431,0.60977,1.02769,0.69968,0.95023,0.000933198,0.000311066,0.000933198,0.000311066,0.000933198,0.000311066,0.000933198,0.000311066
37,2020.96,0.83641,0.51717,0.90925,0.83163,0.80591,0.84051,0.60662,1.02129,0.69276,0.95215,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354
38,2074.43,0.8326,0.51538,0.90656,0.88763,0.76165,0.83453,0.59936,1.0352,0.68831,0.95882,0.000904924,0.000301641,0.000904924,0.000301641,0.000904924,0.000301641,0.000904924,0.000301641
39,2126.86,0.84353,0.50789,0.90926,0.8864,0.7709,0.84325,0.60971,1.0296,0.69377,0.9535,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929
40,2180.37,0.82112,0.49691,0.90578,0.90547,0.77384,0.84782,0.61399,1.02105,0.66687,0.95432,0.000876649,0.000292216,0.000876649,0.000292216,0.000876649,0.000292216,0.000876649,0.000292216
41,2234.14,0.81879,0.50862,0.89996,0.88484,0.78936,0.85241,0.6193,1.02043,0.66292,0.95437,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504
42,2288,0.82583,0.5094,0.90376,0.90935,0.78147,0.84837,0.61566,1.02834,0.66762,0.95339,0.000848375,0.000282792,0.000848375,0.000282792,0.000848375,0.000282792,0.000848375,0.000282792
43,2341.84,0.81564,0.49501,0.90154,0.87158,0.78765,0.85466,0.62164,1.02605,0.66482,0.95728,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079
44,2395.56,0.81121,0.49071,0.90038,0.87171,0.79047,0.84424,0.61232,1.03357,0.67384,0.95863,0.0008201,0.000273367,0.0008201,0.000273367,0.0008201,0.000273367,0.0008201,0.000273367
45,2448.17,0.8115,0.48627,0.90299,0.88977,0.76995,0.85112,0.6165,1.01748,0.66132,0.95489,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654
46,2502.06,0.82135,0.50203,0.90174,0.92391,0.74263,0.85115,0.61819,1.0236,0.66731,0.95138,0.000791826,0.000263942,0.000791826,0.000263942,0.000791826,0.000263942,0.000791826,0.000263942
47,2555.89,0.80729,0.48723,0.89851,0.92308,0.75928,0.854,0.61827,1.02414,0.67797,0.95168,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923
48,2609.77,0.80962,0.48406,0.90153,0.9183,0.76955,0.85379,0.61562,1.03336,0.66962,0.9585,0.000763552,0.000254517,0.000763552,0.000254517,0.000763552,0.000254517,0.000763552,0.000254517
49,2663.25,0.81296,0.48571,0.90606,0.89752,0.75206,0.85062,0.624,1.00954,0.6775,0.95402,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805
50,2716.93,0.8068,0.48184,0.9011,0.8553,0.7954,0.84636,0.61526,1.02461,0.68219,0.95622,0.000735277,0.000245092,0.000735277,0.000245092,0.000735277,0.000245092,0.000735277,0.000245092
51,2769.8,0.79417,0.48429,0.89836,0.89969,0.78228,0.8482,0.61972,0.9979,0.68111,0.95205,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038
52,2822.69,0.79107,0.47052,0.89155,0.89155,0.78208,0.84581,0.61254,1.01369,0.68287,0.95057,0.000707003,0.000235668,0.000707003,0.000235668,0.000707003,0.000235668,0.000707003,0.000235668
